content,intent,Intent_number
<partlist type=started alt= OId=be91766c-57df-4aab-8acd-c13365764e13><part identity=live:.cid.fe63248b85b39c2f><name>Vikash Singh</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineuron ai</name></part></partlist>,O,4
<partlist type=ended alt= OId=be91766c-57df-4aab-8acd-c13365764e13><part identity=live:.cid.fe63248b85b39c2f><name>Vikash Singh</name><duration>8374.338</duration></part><part identity=live:.cid.4933a22bf564744><name>support_ineuron ai</name><duration>8374.338</duration></part></partlist>,O,4
<partlist type=started alt= OId=2e193b78-86d3-41ad-93d8-ebf7badf938a><part identity=live:.cid.fe63248b85b39c2f><name>Vikash Singh</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineuron ai</name></part></partlist>,O,4
<partlist type=missed alt= OId=b08e461c-90e6-458f-842a-892dee8e1d08><part identity=live:.cid.fe63248b85b39c2f><name>Vikash Singh</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineuron ai</name></part></partlist>,O,4
<partlist type=missed alt= OId=d7e4c631-2041-434d-a5ad-b0c037fd6a12><part identity=live:.cid.fe63248b85b39c2f><name>Vikash Singh</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineuron ai</name></part></partlist>,O,4
hi,Greetings,0
good work sir,Thank_you,8
hi,Greetings,0
hi,Greetings,0
Hi Sir,Greetings,0
I had enrolled for deep learning course before but for time being couldn't follow that,support_ticket_generate,21
Now tel me what's the difference between that course and this course,course_details,2
hi,Greetings,0
Hi,Greetings,0
Heheheh,laugh,133
Dekh rahe the ek banda ka chal nahi raha tha,ignore,131
Haan ji,yes_reply,134
Puche doubt ?,yes_reply,134
Melody itni chocolatey kuyn hai ?,ignore,131
Hiiiiii,Greetings,0
Haan bahi isse khatarnak log hote hai,ignore,131
"Hlw sir,  I m from 22nd February ml batch.. I m having problem while deploying my code in bot emulator.. (azure Luis). It's showing error code 500..app works  fine on terminal ..but I don't know why it is not responding in bot emulator.. What should I do? ",azure_luis_500_error,138
"Hlw sir,  I m from 22nd February ml batch.. I m having problem while deploying my code in bot emulator.. (azure Luis). It's showing error code 500..app works  fine on terminal ..but I don't know why it is not responding in bot emulator.. What should I do? ",azure_luis_500_error,138
hi,Greetings,0
hello,Greetings,0
is anybody there?,yes_reply,134
i am not able to view the mute/unmute buttons in zoom for today's class,zoom_mute_disable_reply,135
i have already done that,great,19
since the beginning of the class,great,19
"earlier classes i could see participants, mute/unmute options",zoom_mute_disable_reply,135
but for the first time today i could see only chat and raise hand options,yes_reply,134
hi,Greetings,0
unmute me sir; dattaankan74@gmail.com; ankan datta,wait_reply,136
unmute me sir; dattaankan74@gmail.com; ankan datta,wait_reply,136
hi,Greetings,0
This seems to be generic answer I agree knowing things from fundamentals us always good ,yes_reply,134
Let us know the impact on the data scientists And from last two days continuously pinging in zoom chat in class please convey to Shudanshu or Kris to answer,yes_reply,134
"Hi Sudhanshu &amp; Team, I am actually trying to replicate AWS Lex. But the pblm is, while testing, it gives SMTP error. Gmail Authentication Error even after the Switching ON for allowing less secure apps. I couldn't able to proceed further. Need your assistance. Thank you in advance. ",aws_lex_smtp_error,137
Issue solved.,okay_reply,212
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d7-0bff9caa181557ac98deb7cab2875d65 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d7-0bff9caa181557ac98deb7cab2875d65/views/imgt1_anim type=Picture.1 doc_id=0-sa-d7-0bff9caa181557ac98deb7cab2875d65 width=1310 height=289>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-0bff9caa181557ac98deb7cab2875d65>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-0bff9caa181557ac98deb7cab2875d65</a><OriginalName v=image_2020_04_19T19_14_07_426Z.png></OriginalName><FileSize v=74195></FileSize><meta type=photo originalName=image_2020_04_19T19_14_07_426Z.png></meta></URIObject>",O,4
Got Timeout 3 seconds error,support_ticket_generate,21
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d1-d940c8e23582a4ab1ce590ce0530778a url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d1-d940c8e23582a4ab1ce590ce0530778a/views/imgt1_anim type=Picture.1 doc_id=0-sa-d1-d940c8e23582a4ab1ce590ce0530778a width=476 height=175>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-d940c8e23582a4ab1ce590ce0530778a>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-d940c8e23582a4ab1ce590ce0530778a</a><OriginalName v=image_2020_04_19T19_18_11_492Z.png></OriginalName><FileSize v=18106></FileSize><meta type=photo originalName=image_2020_04_19T19_18_11_492Z.png></meta></URIObject>",O,4
"I am getting mail but as soon as my mail ID, it throws this error.",support_ticket_generate,21
Oh ok,okay_reply,212
Hi,Greetings,0
Ok <ss type=smile>:)</ss>,okay_reply,212
hi,Greetings,0
hi,Greetings,0
<partlist type=missed alt= OId=2f294fff-244b-44e4-b66b-98671e84ebe0><part identity=sourangshu.pal><name>sourangshu pal</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineueon ai</name></part></partlist>,O,4
<partlist type=missed alt= OId=0fe59be9-8615-4403-821b-ba731afa7887><part identity=sourangshu.pal><name>sourangshu pal</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineueon ai</name></part></partlist>,O,4
Give me a O when you're back.,support_ticket_generate,21
<partlist type=started alt= OId=ad43697d-021a-46c2-aaf2-a5049cf14d2c><part identity=sourangshu.pal><name>sourangshu pal</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineueon ai</name></part></partlist>,O,4
<partlist type=ended alt= OId=ad43697d-021a-46c2-aaf2-a5049cf14d2c><part identity=sourangshu.pal><name>sourangshu pal</name><duration>141.034</duration></part><part identity=live:.cid.4933a22bf564744><name>support_ineueon ai</name><duration>141.034</duration></part></partlist>,O,4
<partlist type=started alt= OId=2ac7d483-6ee5-4072-99b8-a9106b90b195><part identity=sourangshu.pal><name>sourangshu pal</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineueon ai</name></part></partlist>,O,4
<partlist type=ended alt= OId=2ac7d483-6ee5-4072-99b8-a9106b90b195><part identity=sourangshu.pal><name>sourangshu pal</name><duration>165.989</duration></part><part identity=live:.cid.4933a22bf564744><name>support_ineueon ai</name><duration>165.989</duration></part></partlist>,O,4
hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
is it a chatbot?,yes_reply,134
i need help regarding a code,sure,18
shall i paste the code here or shall i send the screenshot?,okay_reply,212
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d6-c63a7813ea0a4f100bf918dfc5201572 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d6-c63a7813ea0a4f100bf918dfc5201572/views/imgt1_anim type=Picture.1 doc_id=0-sa-d6-c63a7813ea0a4f100bf918dfc5201572 width=1064 height=781>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-c63a7813ea0a4f100bf918dfc5201572>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-c63a7813ea0a4f100bf918dfc5201572</a><OriginalName v=temp.PNG></OriginalName><FileSize v=50743></FileSize><meta type=photo originalName=temp.PNG></meta></URIObject>",O,4
how to O this ?,support_ticket_generate,21
where did i do wrong?,support_ticket_generate,21
semi perimeter which is defined in main func,support_ticket_generate,21
ok,okay_reply,212
wow thanks! I understood.,welocme_reply,211
But I'm supposed to get the print statement. Isn't it?,support_ticket_generate,21
hi,Greetings,0
<partlist type=missed alt= OId=23f5fcc3-74b8-40e3-a62f-48cde9762cfb><part identity=live:.cid.5289059b89c5cf3><name>Mukunthan Ragavan</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineuron_ai</name></part></partlist>,O,4
Good evening,Greetings,0
Is it good time to call on few doubts,support_ticket_generate,21
ok,okay_reply,212
I am working pandas practice 1,support_ticket_generate,21
Which transactions have a UserID not in users?,ignore,131
Q 1,ignore,131
13,ignore,131
Need to know how to use where condition like sql,support_ticket_generate,21
Please help,support_ticket_generate,21
shall i O if you free,support_ticket_generate,21
hi,Greetings,0
Machine Learning batch Feb 22,enter_query,204
ok,okay_reply,212
pandas practice 1,support_ticket_generate,21
<a href=https://drive.google.com/file/d/1U-X-NZ2vQw5aypSuKBmHfwENITQSGBO9/view>https://drive.google.com/file/d/1U-X-NZ2vQw5aypSuKBmHfwENITQSGBO9/view</a>,support_ticket_generate,21
Will check and let you know the results,okay_reply,212
Thanks,welocme_reply,211
It is about not in,support_ticket_generate,21
Which transactions have a UserID not in users?,ignore,131
above code takes isin,ignore,131
"checked for is not in , but not available",ignore,131
I used in some different way to get not in condition,support_ticket_generate,21
Got it working and thanks for support,welocme_reply,211
oh sorry,okay_reply,212
Got it,more_query,210
"I need some guidance on pandas join , merge, concat . append",pandas_general_query,140
some times it confuses whoch one choos,ignore,131
Especially i am facing challenge on cross join,pandas_cross_join,141
Yes,more_query,210
Understood individually join and concat,more_query,210
"cross join is issue as how parameter has only left , right , inner, outer",pandas_cross_join,141
Hi,Greetings,0
Could you please guide how to make cross join in pandas,pandas_cross_join,141
I could not find the cross as value for 'how',pandas_cross_join,141
thanks,more_query,210
hi,Greetings,0
"I have enrolled ML course and Deep learning with NLP and Computer Vision, please add me I have some issue in chatbot ",chatbot_issue,142
hi,Greetings,0
hey Sir,Greetings,0
Hey,Greetings,0
but now resolved thanks for reply,more_query,210
hi,Greetings,0
Hi Team,Greetings,0
hi,Greetings,0
I need help with Pycharm interpreter selection,pycharm_interpreter_selection,143
I am getting error while  adding module,pycharm_interpreter_selection,143
"Did that... actually I have completely changed the settings, so now completely removed all python apps and re installed it",pycharm_interpreter_selection,143
so don't want to do much changes,ignore,131
I need help with Pycharm interpreter selection and it is something to do with path set in system,pycharm_path_set,144
but unable to trace this issue,support_ticket_generate,21
anything here you guys can help me with?,support_ticket_generate,21
Hi,Greetings,0
Please accept my request to add,okay_reply,212
Hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
I am part of the DLCVNLP program,enter_query,204
I am part of the DLCVNLP program,enter_query,204
hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
"Hello I joined DL,NLP,CV, Is there any way I can view previous batches",support_ticket_generate,21
hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
Hi,Greetings,0
"This is phani, DL batch",enter_query,204
hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
hi,Greetings,0
Hii,Greetings,0
hi,Greetings,0
Just for testing,okay_reply,212
hi,Greetings,0
hello,Greetings,0
hi,Greetings,0
I was trying to replicate the chatbot for dialog flow but i am only getting one email send by support team not the other one,dialog_flow_email_issue,225
can you please help me with it,sure,18
"Hello Team, I'm from April 18th batch of DLCVNLP batch . May I know which course would be starting first ?  ",support_ticket_generate,21
Yes. I mean NLP or DEEP LEARNING CV ?,support_ticket_generate,21
Then cv or nlp ? Or u just need to check with sandesh on this ? If so could you please give an update,support_ticket_generate,21
"In chatbot project, like Luis  frameworks vl be deployed in azure ? Where can I see if there  any material or videos on these ? ",azure_luis_deployment,145
Oh ok. How to participate in it?,refer_class_lecture,146
hi,Greetings,0
Hello I am in ML and DL courses,enter_query,204
hi,Greetings,0
Hello team ineuron ....I have a confusion regarding assignments,assignment_issue,217
In assignment section ....assignment no 2 has more questions ......while in course section ...assignment no 2 has only 2 question,assignment_issue,217
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d1-48c2dec4c46d617db8ed866e56dd7adc url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d1-48c2dec4c46d617db8ed866e56dd7adc/views/imgt1_anim type=Picture.1 doc_id=0-sa-d1-48c2dec4c46d617db8ed866e56dd7adc width=1366 height=768>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-48c2dec4c46d617db8ed866e56dd7adc>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-48c2dec4c46d617db8ed866e56dd7adc</a><OriginalName v=AssignmentSection.png></OriginalName><FileSize v=206181></FileSize><meta type=photo originalName=AssignmentSection.png></meta></URIObject>",O,4
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d4-90ab7a504eb257c09feed39549674174 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d4-90ab7a504eb257c09feed39549674174/views/imgt1_anim type=Picture.1 doc_id=0-sa-d4-90ab7a504eb257c09feed39549674174 width=1366 height=768>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d4-90ab7a504eb257c09feed39549674174>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d4-90ab7a504eb257c09feed39549674174</a><OriginalName v=Course Section.png></OriginalName><FileSize v=199705></FileSize><meta type=photo originalName=Course Section.png></meta></URIObject>",O,4
ok sir ......actually i have submitted my first assignment from .....assignment section ......,great,19
I hope there is no issue ....if i will start submit it from page hierarchy?,yes_reply,134
thanks sir,welocme_reply,211
Hello team member,Greetings,0
In assignment 3 ...question no 2 has ....how many comprehension lists,assignment_doubt,30
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d2-05c18f5bdb8797e882ba06490e5af8a5 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d2-05c18f5bdb8797e882ba06490e5af8a5/views/imgt1_anim type=Picture.1 doc_id=0-sa-d2-05c18f5bdb8797e882ba06490e5af8a5 width=1366 height=768>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-05c18f5bdb8797e882ba06490e5af8a5>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-05c18f5bdb8797e882ba06490e5af8a5</a><OriginalName v=Assignment3.png></OriginalName><FileSize v=186475></FileSize><meta type=photo originalName=Assignment3.png></meta></URIObject>",O,4
list 3 and 4 i have doubt,support_ticket_generate,21
means total how many lists ?,support_ticket_generate,21
total 4 or 5 ?,support_ticket_generate,21
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d5-cf0004827c1341eb45690dd59099a560 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d5-cf0004827c1341eb45690dd59099a560/views/imgt1_anim type=Picture.1 doc_id=0-sa-d5-cf0004827c1341eb45690dd59099a560 width=702 height=271>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-cf0004827c1341eb45690dd59099a560>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-cf0004827c1341eb45690dd59099a560</a><OriginalName v=Assignment3Q2.png></OriginalName><FileSize v=16158></FileSize><meta type=photo originalName=Assignment3Q2.png></meta></URIObject>",assignment_doubt,30
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d5-cf0004827c1341eb45690dd59099a560 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d5-cf0004827c1341eb45690dd59099a560/views/imgt1_anim type=Picture.1 doc_id=0-sa-d5-cf0004827c1341eb45690dd59099a560 width=702 height=271>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-cf0004827c1341eb45690dd59099a560>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-cf0004827c1341eb45690dd59099a560</a><OriginalName v=Assignment3Q2.png></OriginalName><FileSize v=16158></FileSize><meta type=photo originalName=Assignment3Q2.png></meta></URIObject>",assignment_doubt,30
"Actually I implemented it separately .......[[2], [3], [4], [3], [4], [5], [4], [5], [6]] [[2, 3, 4, 5], [3, 4, 5, 6],[4, 5, 6, 7], [5, 6, 7, 8]]",support_ticket_generate,21
"Plz help me ....how can i implement it as single list ..........................[[2], [3], [4], [3], [4], [5], [4], [5], [6]] [[2, 3, 4, 5], [3, 4, 5, 6],[4, 5, 6, 7], [5, 6, 7, 8]]",support_ticket_generate,21
sure,more_query,210
hi,Greetings,0
Hi,Greetings,0
<partlist type=missed alt= OId=322f252c-b84f-4969-83ef-644df92db0d2><part identity=live:.cid.77ac9baabfb6f439><name>lubna fatima</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineuron_ai</name></part></partlist>,O,4
<partlist type=missed alt= OId=70cd489d-b242-4d00-ad54-d3d411d8d18a><part identity=live:.cid.77ac9baabfb6f439><name>lubna fatima</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineuron_ai</name></part></partlist>,O,4
HI,Greetings,0
"Im for ML 28th march batch, submitted my assignment but it says u r not able to c my code",assingment_uploading_error,147
could u plz help me,sure,18
<partlist type=missed alt= OId=21fa6220-c25e-485c-a032-e306f7c945f1><part identity=live:.cid.77ac9baabfb6f439><name>lubna fatima</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineuron_ai</name></part></partlist>,O,4
sure,okay_reply,212
<a href=https://github.com/naz-dvlp12/NAZIYA_ASSIGNMENT/blob/master/assgn_0001.py%20(1).ipynb>https://github.com/naz-dvlp12/NAZIYA_ASSIGNMENT/blob/master/assgn_0001.py%20(1).ipynb</a>,O,4
"here's my assignments link tht im able open , but i dont know when i checked my grades it says ",support_ticket_generate,21
ill send u the screen shot,okay_reply,212
jus a sec,okay_reply,212
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d7-11f7ecbdc8e07f8b5c9b13d319e5d379 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d7-11f7ecbdc8e07f8b5c9b13d319e5d379/views/imgt1_anim type=Picture.1 doc_id=0-sa-d7-11f7ecbdc8e07f8b5c9b13d319e5d379 width=1440 height=900>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-11f7ecbdc8e07f8b5c9b13d319e5d379>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-11f7ecbdc8e07f8b5c9b13d319e5d379</a><OriginalName v=Screen Shot 2020-04-21 at 4.23.09 PM.png></OriginalName><FileSize v=644241></FileSize><meta type=photo originalName=Screen Shot 2020-04-21 at 4.23.09 PM.png></meta></URIObject>",O,4
pls chk this,okay_reply,212
"oh thank You, not jus one i hope all 3 of my assignments will be viewd n evaluated successfully.",sure,18
Thank you.,welocme_reply,211
hi,Greetings,0
Hi Sir,Greetings,0
i am Shiva from course ml22ndFEB batch,enter_query,204
i have some queries regarding chatbot using Luis,azure_luis_understanding_issue,149
its not about logic,then_reply,150
i followed steps provided in Krish's video from youtube,enter_query,204
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-ea-d8-cf635bf9e0979f5c4b2a9fdc85819db8 url_thumbnail=https://api.asm.skype.com/v1/objects/0-ea-d8-cf635bf9e0979f5c4b2a9fdc85819db8/views/imgt1_anim type=Picture.1 doc_id=0-ea-d8-cf635bf9e0979f5c4b2a9fdc85819db8 width=3070 height=1867>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-ea-d8-cf635bf9e0979f5c4b2a9fdc85819db8>https://login.skype.com/login/sso?go=xmmfallback?pic=0-ea-d8-cf635bf9e0979f5c4b2a9fdc85819db8</a><OriginalName v=Screenshot 2020-04-20 at 5.37.19 PM.png></OriginalName><FileSize v=438525></FileSize><meta type=photo originalName=Screenshot 2020-04-20 at 5.37.19 PM.png></meta></URIObject>",O,4
"    await self.on_message_activity(turn_context)  File &quot;/Users/Shiva/Projects/Weather-Chatbot-Using-Luis/luis/luisApp.py&quot;, line 24, in on_message_activity    luis_result = await self.luis_recognizer.recognize(turn_context)  File &quot;/Users/Shiva/Projects/Weather-Chatbot-Using-Luis/venv/lib/python3.8/site-packages/botbuilder/ai/luis/luis_recognizer.py&quot;, line 124, in recognize    return await self._recognize_internal(  File &quot;/Users/Shiva/Projects/Weather-Chatbot-Using-Luis/venv/lib/python3.8/site-packages/botbuilder/ai/luis/luis_recognizer.py&quot;, line 274, in _recognize_internal    luis_result = self._runtime.prediction.resolve(  File &quot;/Users/Shiva/Projects/Weather-Chatbot-Using-Luis/venv/lib/python3.8/site-packages/azure/cognitiveservices/language/luis/runtime/operations/prediction_operations.py&quot;, line 110, in resolve    raise models.APIErrorException(self._deserialize, response)azure.cognitiveservices.language.luis.runtime.models.api_error_py3.APIErrorException: Operation returned an invalid status code 'Gone'127.0.0.1 - - [20/Apr/2020 17:39:53] &quot;POST /api/messages HTTP/1.1&quot; 500 -",okay_reply,212
yes i have published it,okay_reply,212
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-ea-d5-db82847dbd03b7e22363503ccf1cfb74 url_thumbnail=https://api.asm.skype.com/v1/objects/0-ea-d5-db82847dbd03b7e22363503ccf1cfb74/views/imgt1_anim type=Picture.1 doc_id=0-ea-d5-db82847dbd03b7e22363503ccf1cfb74 width=3584 height=2240>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-ea-d5-db82847dbd03b7e22363503ccf1cfb74>https://login.skype.com/login/sso?go=xmmfallback?pic=0-ea-d5-db82847dbd03b7e22363503ccf1cfb74</a><OriginalName v=Screenshot 2020-04-20 at 5.54.30 PM.png></OriginalName><FileSize v=1544762></FileSize><meta type=photo originalName=Screenshot 2020-04-20 at 5.54.30 PM.png></meta></URIObject>",O,4
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-ea-d5-128d56aed81d144003b9ad3bb95fd756 url_thumbnail=https://api.asm.skype.com/v1/objects/0-ea-d5-128d56aed81d144003b9ad3bb95fd756/views/imgt1_anim type=Picture.1 doc_id=0-ea-d5-128d56aed81d144003b9ad3bb95fd756 width=2322 height=858>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-ea-d5-128d56aed81d144003b9ad3bb95fd756>https://login.skype.com/login/sso?go=xmmfallback?pic=0-ea-d5-128d56aed81d144003b9ad3bb95fd756</a><OriginalName v=Screenshot 2020-04-20 at 5.55.46 PM.png></OriginalName><FileSize v=93506></FileSize><meta type=photo originalName=Screenshot 2020-04-20 at 5.55.46 PM.png></meta></URIObject>",O,4
<MediaAlbum albumId=2dc064bc-ad15-4941-9f48-b650b2299a8b></MediaAlbum>,O,4
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-ea-d1-f5869b61e5b49c9bc3a5eea08f5d5095 url_thumbnail=https://api.asm.skype.com/v1/objects/0-ea-d1-f5869b61e5b49c9bc3a5eea08f5d5095/views/imgt1_anim type=Picture.1 doc_id=0-ea-d1-f5869b61e5b49c9bc3a5eea08f5d5095 width=2322 height=858>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-ea-d1-f5869b61e5b49c9bc3a5eea08f5d5095>https://login.skype.com/login/sso?go=xmmfallback?pic=0-ea-d1-f5869b61e5b49c9bc3a5eea08f5d5095</a><OriginalName v=Screenshot 2020-04-20 at 5.55.53 PM.png></OriginalName><FileSize v=156582></FileSize><meta type=photo originalName=Screenshot 2020-04-20 at 5.55.53 PM.png></meta></URIObject>",O,4
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-ea-d7-e5dc3f23054b5bd967b7882ef59614e1 url_thumbnail=https://api.asm.skype.com/v1/objects/0-ea-d7-e5dc3f23054b5bd967b7882ef59614e1/views/imgt1_anim type=Picture.1 doc_id=0-ea-d7-e5dc3f23054b5bd967b7882ef59614e1 width=2322 height=1242>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-ea-d7-e5dc3f23054b5bd967b7882ef59614e1>https://login.skype.com/login/sso?go=xmmfallback?pic=0-ea-d7-e5dc3f23054b5bd967b7882ef59614e1</a><OriginalName v=Screenshot 2020-04-20 at 5.56.28 PM.png></OriginalName><FileSize v=266539></FileSize><meta type=photo originalName=Screenshot 2020-04-20 at 5.56.28 PM.png></meta></URIObject>",O,4
ok,more_query,210
Thank you ,welocme_reply,211
it worked,great,19
i have one more query,enter_query,204
i have registered for Deep learning with Advance Computer Vision and NLP Masters course,course_details,2
i didnt get any response from iNeuron,support_ticket_generate,21
response like some confirmation and dashboad too,Dashboard_access,11
Hi,Greetings,0
i am able to access the dashboard now,okay_reply,212
thanks,welocme_reply,211
<ss type=smile>:)</ss>,more_query,210
hi,Greetings,0
Do we need to submit python assignments as well?,ml_dl_based_ans,209
"Hi Sir, i have access to this dashboard course i am going with fast track course with ML. if you open the Machine learning module 1. and open the recording video 2.  and compare with the linear regression zip file (Linear Regression.ipynb) video content &amp; this file content are different seems like there is some missing content.",Greetings,0
can you please check Thanks.,enter_query,204
sure thanks,more_query,210
ya i watched 1-2 more video then got clarified.  thank you so much,welocme_reply,211
hi,Greetings,0
I'm currently working on the chatbot projects. In the video tutorial of chatbot with google dialogflow virat in building solution video in the end says about some ineuron git repo where the step by step procedure of cloud is given. I'm not able to find that repo,gcp_deployment,84
please foreard me the link.,sure,18
Thank you,welocme_reply,211
i have this one,enter_query,204
I want the when where there's step by step deployment into cloud,deployment,86
okay,more_query,210
Google dialogflow is displaying this in it's header :-,gcp_deployment,84
"Dialogflow V1 API shutdown has been postponed to May 31st, 2020.",support_ticket_generate,21
so my qs here is that what link should I submit in my dashboard,assignment_link,34
the github one? where I pushed my chatbot files?,yes_reply,134
okay,more_query,210
Can't we create a free amazon lex account?,aws_lex_account_query,151
hi,Greetings,0
"Hi, I have this problem, find a list within a list and then reverse all the strings within that list. Then, in the reversed list, reverse all the characters of the string in that list.",support_ticket_generate,21
Code that I have written:,support_ticket_generate,21
"No assignment, it is a personal query",enter_query,204
"Strange, Sudhandhu said we can ask query related to programming. ",enter_query,204
By the way this program was discussed in the class. I have just modified the code a bit to understand it clearly but I am stuck in the middle of the code so am asking.,enter_query,204
Approx time plz,support_ticket_generate,21
